Tickers,Date,Yield
AAPL,2020/7/22,0.966569132
AAPL,2020/7/23,0.972629929
AAPL,2020/7/24,1.110867307
AAPL,2020/7/27,1.168045483
AAPL,2020/7/28,1.164433745
AAPL,2020/7/29,1.257812801
AAPL,2020/7/30,0.974003889
AAPL,2020/7/31,1.213377615
AAPL,2020/8/2,1.042889
AAPL,2020/8/3,0.979483359
AAPL,2020/8/4,1.168823765
AAPL,2020/8/5,1.044300227
AAPL,2020/8/6,0.651365861
AAPL,2020/8/7,1.068763224
AAPL,2020/8/10,0.83043609
AAPL,2020/8/11,0.830805979
AAPL,2020/8/12,1.152479451
AAPL,2020/8/13,1.34156628
AAPL,2020/8/14,1.1103557
AAPL,2020/8/17,1.208787049
AAPL,2020/8/18,1.075989475
AAPL,2020/8/19,1.380297628
AAPL,2020/8/20,1.540730509
AAPL,2020/8/21,1.407548674
AAPL,2020/8/23,1.199325812
AAPL,2020/8/24,1.426185833
AAPL,2020/8/25,1.259547937
AAPL,2020/8/26,1.495314315
AAPL,2020/8/27,1.448633844
AAPL,2020/8/28,1.747706492
AAPL,2020/8/31,1.684155321
AAPL,2020/9/1,1.154198557
AAPL,2020/9/2,1.388379344
AAPL,2020/9/3,1.142987628
AAPL,2020/9/4,1.040871592
AAPL,2020/9/7,2.548356
AAPL,2020/9/8,1.364746473
AAPL,2020/9/9,1.208189475
AAPL,2020/9/10,1.558762256
AAPL,2020/9/11,1.642937982
AAPL,2020/9/14,1.054556794
AAPL,2020/9/15,1.006251025
AAPL,2020/9/16,1.276766211
AAPL,2020/9/17,1.33320207
AAPL,2020/9/18,1.331726663
AAPL,2020/9/21,1.174019106
AAPL,2020/9/22,1.867547453
AAPL,2020/9/23,1.691719535
AAPL,2020/9/24,1.409518977
AAPL,2020/9/25,1.362161146
AAPL,2020/9/28,1.052054702
AAPL,2020/9/29,0.955914875
AAPL,2020/9/30,1.258551909
